caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
454,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Sometimes,Rarely,Sometimes,Often
455,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Often,Often,Often,Often
456,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Sometimes,Often,Rarely,Often
457,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Rarely,Sometimes
458,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
459,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Rarely,Often,Rarely,Never
460,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,,Disagree,Disagree,Sometimes,Often,Very often,Very often
461,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Rarely,Rarely,Sometimes
462,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Sometimes,Never,Never
463,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Rarely,Rarely,Sometimes,Often
464,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely
465,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very often,Sometimes,Rarely,Rarely
466,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Sometimes
467,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Never,Rarely,Sometimes,Often
468,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Rarely,Often,Rarely,Often
469,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Often,Often,Rarely,Very often
470,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
471,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Never,Never,Rarely,Never
472,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Often,Rarely,Sometimes,Never
473,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,,Agree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Very often
474,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Often,Very often,Very often,Very often
475,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Sometimes,Sometimes
476,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Never,Never
477,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Often,Rarely,Rarely
478,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
479,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Never
480,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
482,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Rarely,Often,Never,Sometimes
483,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Never,Never,Very often,Sometimes
484,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Sometimes,Rarely,Often
485,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Rarely,Often,Often,Very often
486,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Sometimes,Often,Rarely,Sometimes
487,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often
488,"God created man pretty much in his present form at one time within the last 10,000 years",,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Rarely,,Rarely,
489,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Never,Never,Never,Often
490,Man has developed over millions of years from less advanced forms of life. God had no part in this process,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Rarely,Rarely,Never,Rarely
491,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Very often,Very often,Very often,Very often
492,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Never,Often,Never,Often
493,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Never,Never,Very often
494,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Often,Rarely,Very often,Very often
495,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Disagree,Often,Often,Rarely,Rarely
496,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Rarely,Sometimes,Rarely
497,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Often
498,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Rarely,Never,Rarely,Sometimes
499,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly disagree,Never,Rarely,Never,Never
500,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Very often,Very often,Rarely
501,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Rarely,Sometimes,Rarely,Rarely
502,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Rarely,Very often,Never,Never
503,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Often,Very often
504,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Never,Sometimes,Sometimes
505,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Very often,Sometimes
